wl,Si,Sugar,PS
1572,0.672811937,0.883037582,0.978612
1573,0.672927503,0.882938318,0.978381
1574,0.673007916,0.882903215,0.978129
1575,0.673088847,0.882958179,0.977631
1576,0.673157889,0.883072237,0.977313
1577,0.6732945,0.883205053,0.977031
1578,0.673415225,0.883344526,0.976672
1579,0.67348367,0.883486608,0.976365
1580,0.673581706,0.883580971,0.975975
1581,0.673618145,0.883740267,0.975547
1582,0.67364507,0.883908839,0.97511
1583,0.673670239,0.884027009,0.974829
1584,0.673710059,0.884229674,0.974462
1585,0.67382974,0.88444292,0.97396
1586,0.673881739,0.884651184,0.973532
1587,0.673912859,0.884848677,0.972996
1588,0.673953542,0.88503729,0.972519
1589,0.673943575,0.885209203,0.972067
1590,0.674027325,0.88541907,0.971681
1591,0.674207863,0.88570084,0.971326
1592,0.674338889,0.885885913,0.970876
1593,0.674393434,0.886065941,0.970528
1594,0.674444852,0.886194736,0.970064
1595,0.67450191,0.886299789,0.969511
1596,0.674617256,0.886533861,0.969074
1597,0.674768492,0.886776729,0.968625
1598,0.674881857,0.887097786,0.968049
1599,0.674971032,0.887446786,0.967315
1600,0.675035347,0.887760104,0.966437
1601,0.675073222,0.888098088,0.965471
1602,0.675072179,0.888299942,0.964501
1603,0.67511963,0.888451232,0.963593
1604,0.675135001,0.888634532,0.962708
1605,0.675152404,0.888793144,0.961642
1606,0.675297399,0.889080118,0.960415
1607,0.675387292,0.88940342,0.959123
1608,0.675389703,0.889803446,0.957617
1609,0.675380847,0.890292342,0.956011
1610,0.6753551,0.890642121,0.954439
1611,0.675333199,0.891030269,0.952611
1612,0.675360653,0.891329093,0.950568
1613,0.67540096,0.891428369,0.948461
1614,0.675456037,0.891672559,0.945942
1615,0.675526628,0.891973551,0.943165
1616,0.67554311,0.892250777,0.940119
1617,0.675574474,0.892634908,0.936755
1618,0.675611464,0.892947589,0.933417
1619,0.675652349,0.893212699,0.929607
1620,0.675746831,0.893523215,0.925465
1621,0.675801712,0.893765958,0.921368
1622,0.675887731,0.894015229,0.916617
1623,0.675950694,0.894294909,0.911624
1624,0.675878294,0.894552277,0.906906
1625,0.675836335,0.894801341,0.902065
1626,0.67580998,0.895043001,0.897589
1627,0.675736098,0.895345527,0.893236
1628,0.675688261,0.895728747,0.888733
1629,0.675686055,0.895985168,0.884571
1630,0.675658422,0.896288471,0.880218
1631,0.675640872,0.89664684,0.876173
1632,0.675632752,0.896843456,0.872654
1633,0.675615363,0.897160501,0.869116
1634,0.67560936,0.897349036,0.866125
1635,0.675569795,0.897567556,0.863477
1636,0.675624462,0.897867432,0.861072
1637,0.675708751,0.897986552,0.859039
1638,0.675686864,0.898329755,0.857249
1639,0.675544163,0.898601256,0.855856
1640,0.675374077,0.898773752,0.854813
1641,0.675287407,0.89907708,0.854122
1642,0.675140397,0.899394915,0.853773
1643,0.67506182,0.899667534,0.853822
1644,0.675095966,0.899840645,0.854151
1645,0.67490207,0.90012276,0.854828
1646,0.674647207,0.900419876,0.855796
1647,0.674535149,0.900554995,0.856746
1648,0.674358023,0.900825189,0.857724
1649,0.674273105,0.901167658,0.858609
1650,0.674361143,0.901360818,0.858924
1651,0.674355245,0.901553127,0.858468
1652,0.674293381,0.901726752,0.857206
1653,0.674259788,0.901853833,0.854973
1654,0.674164178,0.902068698,0.851499
1655,0.674095862,0.902455158,0.846995
1656,0.674089859,0.902768501,0.841402
1657,0.674019819,0.902848789,0.83454
